Participant;Team;∑ Challenge Score;WebLevel1;WebLevel2;SQL;XSS;Crypthography;General;Hints
1;team3;10560;4000;0;1560;1440;3320;240;0
2;team2;17330;8000;2000;1320;960;5060;240;-250
3;team2;17330;8000;2000;1320;960;5060;240;-250
4;team4;5320;0;0;1560;960;2560;240;0
5;team2;17330;8000;2000;1320;960;5060;240;-250
6;team1;14319;9000;2000;1320;1200;2560;240;-2001
7;team4;5320;0;0;1560;960;2560;240;0
8;team3;10560;4000;0;1560;1440;3320;240;0
9;team3;10560;4000;0;1560;1440;3320;240;0
10;team1;14319;9000;2000;1320;960;2560;240;-2001
11;team1;14319;9000;2000;1320;960;2560;240;-2001
