Participant;PreQ1;PreQ2;PreQ3;PreQ4;PreQ5;PreQ6;PostQ1;PostQ2;PostQ3;PostQ4;PostQ5;PostQ6;SQL_Pre;XSS_Pre;Crypthography_Pre;SQL_Post;XSS_Post;Crypthography_Post;SQL_Mean;XSS_Mean;Crypthography_Mean
1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0,5;0,5;0;0,5;0,5
2;1;0;0;0;1;0;1;0;1;0;1;1;0,5;0;0,5;0,5;0,5;1;0;0,5;0,5
3;1;0;1;0;0;0;1;0;1;0;1;1;0,5;0,5;0;0,5;0,5;1;0;0;1
4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0,5;0;0;0,5
5;0;0;1;0;1;0;1;0;0;0;1;1;0;0,5;0,5;0,5;0;1;0,5;-0,5;0,5
6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0,5;0;0;0,5
7;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0,5;0;0,5;0,5;0;0,5;0
8;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0,5;0;0;1;0;0;0,5
9;1;0;0;0;0;0;0;0;0;0;1;1;0,5;0;0;0;0;1;-0,5;0;1
10;0;0;1;0;0;0;0;0;1;0;0;0;0;0,5;0;0;0,5;0;0;0;0
11;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;-0,5
